word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,fixation.started,fixationCross.started,fixation.stopped,trial.started,Stimulus.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
red,red,1,r,3,5,53,0,112.9824122999562,,,,,,,,112.9705333999591,112.9824122999562,114.16744769993238,114.16748780000489,114.1823127999669,114.68231830000877,114.85257709992584,r,1,0.16740489995572716,None,114.1823127999669,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,green,0,g,3,6,54,6,114.86558049998712,,,,,,,,114.8543327000225,114.86558049998712,116.05103989993222,116.05107309995219,116.0655302000232,116.56538249994628,116.91678869992029,g,1,0.34435769997071475,None,116.0655302000232,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,yellow,0,y,3,7,55,11,116.93182149995118,,,,,,,,116.9178020999534,116.93182149995118,118.11560619994998,118.1156155000208,118.13147209992167,118.63209289999213,118.96784669999033,y,1,0.3308094999520108,None,118.13147209992167,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,blue,0,b,3,8,56,5,118.98162600002252,,,,,,,,118.96887839992996,118.98162600002252,120.16642589995172,120.16645779996179,120.18138570000883,120.68170690000989,120.89998939994257,b,1,0.21114979998674244,None,120.18138570000883,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,yellow,1,y,3,9,57,1,120.91488820000086,,,,,,,,120.90105969994329,120.91488820000086,122.09991270001046,122.0999389999779,122.11472019995563,122.61466449999716,122.84972619998734,y,1,0.2208155000116676,None,122.11472019995563,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,blue,0,b,3,10,58,8,122.86486909992527,,,,,,,,122.8508356999373,122.86486909992527,124.04829880001489,124.04832289996557,124.06446249992587,124.56445459998213,124.8498698999174,b,1,0.26918360008858144,None,124.06446249992587,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,red,0,r,3,11,59,10,124.86441879998893,,,,,,,,124.85120739997365,124.86441879998893,126.04796330002137,126.0479812999256,126.06420829996932,126.56429229991045,126.816090599983,r,1,0.2461837000446394,None,126.06420829996932,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,red,0,r,3,12,60,13,126.83066969993524,,,,,,,,126.8172369999811,126.83066969993524,128.01533009996638,128.01535809994675,128.03047989995684,128.53059709991794,128.71653849992435,r,1,0.1719050999963656,None,128.03047989995684,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,green,0,g,3,13,61,9,128.7304909999948,,,,,,,,128.7178526999196,128.7304909999948,129.91518779995386,129.91522690001875,129.9303215999389,130.4303154000081,130.5151721999282,g,1,0.07394369994290173,None,129.9303215999389,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,green,1,g,3,14,62,3,130.53033249999862,,,,,,,,130.5164647999918,130.53033249999862,131.7161437999457,131.71619700000156,131.73042699997313,132.23012810002547,132.38245589996222,g,1,0.13597989990375936,None,131.73042699997313,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,yellow,0,y,3,15,63,4,132.39687459997367,,,,,,,,132.3833046000218,132.39687459997367,133.5814358999487,133.58146919996943,133.59688849991653,134.09630330000073,134.51526929996908,y,1,0.4170542999636382,None,133.59688849991653,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
